Act	Type	Id	Description	ObjectId
1	1	0	gheed	-1
1	1	1	cain1	-1
1	1	2	akara	-1
1	1	3	chicken	-1
1	1	4	rogue1	-1
1	1	5	kashya	-1
1	1	6	cow	-1
1	1	7	warriv1	-1
1	1	8	charsi	-1
1	1	9	andariel	-1
1	1	10	place_fallen	-1
1	1	11	place_fallenshaman	-1
1	1	12	place_bloodraven	-1
1	1	13	cow	-1
1	1	14	camel	-1
1	1	15	place_unique_pack	-1
1	1	16	place_npc_pack	-1
1	1	17	place_nothing	-1
1	1	18	place_nothing	-1
1	1	19	place_champion	-1
1	1	20	navi	-1
1	1	21	rogue1	-1
1	1	22	rogue3	-1
1	1	23	gargoyletrap	-1
1	1	24	place_fallennest	-1
1	1	25	place_talkingrogue	-1
1	1	26	place_fallen	-1
1	1	27	place_fallenshaman	-1
1	1	28	trap-horzmissile	-1
1	1	29	trap-vertmissile	-1
1	1	30	place_group25	-1
1	1	31	place_group50	-1
1	1	32	place_group75	-1
1	1	33	place_group100	-1
1	1	34	Bishibosh	-1
1	1	35	Bonebreak	-1
1	1	36	Coldcrow	-1
1	1	37	Rakanishu	-1
1	1	38	Treehead WoodFist	-1
1	1	39	Griswold	-1
1	1	40	The Countess	-1
1	1	41	Pitspawn Fouldog	-1
1	1	42	Flamespike the Crawler	-1
1	1	43	Boneash	-1
1	1	44	The Smith	-1
1	1	45	The Cow King	-1
1	1	46	Corpsefire	-1
1	1	47	0	-1
1	1	48	0	-1
1	1	49	0	-1
1	1	50	0	-1
1	1	51	0	-1
1	1	52	0	-1
1	1	53	0	-1
1	1	54	0	-1
1	1	55	0	-1
1	1	56	0	-1
1	1	57	0	-1
1	1	58	0	-1
1	1	59	0	-1
1	2	0	RogueFountain	12
1	2	1	Torch1 Tiki	37
1	2	2	RogueBonfire	39
1	2	3	Standard1	35
1	2	4	Standard2	36
1	2	5	LargeChestR	5
1	2	6	StoneAlpha	17
1	2	7	StoneBeta	18
1	2	8	StoneGamma	19
1	2	9	StoneDelta	20
1	2	10	StoneLambda	21
1	2	11	StoneTheta	22
1	2	12	inifuss tree	30
1	2	13	ripple	70
1	2	14	ripple	70
1	2	15	ripple	69
1	2	16	ripple	69
1	2	17	Brazier	29
1	2	18	Fountain	31
1	2	19	Candles1	33
1	2	20	Candles2	34
1	2	21	Torch1 Tiki	37
1	2	22	Invisible object	61
1	2	23	invisible river sound1	65
1	2	24	invisible river sound2	66
1	2	25	Tower Tome	8
1	2	26	Cain's Been Captured	26
1	2	27	Hole in Ground	28
1	2	28	bubbling pool of blood	82
