sound	soundstr
warriv_act1_intro	WarrivAct1IntroGossip1
warriv_act1_intro_pal	WarrivAct1IntroPalGossip1
warriv_act1_gossip_pal	WarrivGossip1
warriv_act1_gossip_1	WarrivGossip2
warriv_act1_gossip_2	WarrivGossip3
warriv_act1_gossip_3	WarrivGossip4
warriv_act1_gossip_4	WarrivGossip5
warriv_act1_gossip_5	WarrivGossip6
warriv_act1_gossip_6	WarrivGossip7
warriv_act1_gossip_7	WarrivGossip8
warriv_act1_gossip_8	WarrivGossip9
akara_act1_intro	AkaraIntroGossip1
akara_act1_intro_sor	AkaraIntroSorGossip1
akara_act1_gossip_sor	AkaraGossip1
akara_act1_gossip_1	AkaraGossip2
akara_act1_gossip_2	AkaraGossip3
akara_act1_gossip_3	AkaraGossip4
akara_act1_gossip_4	AkaraGossip5
akara_act1_gossip_5	AkaraGossip6
akara_act1_gossip_6	AkaraGossip7
akara_act1_gossip_7	AkaraGossip8
akara_act1_gossip_8	AkaraGossip9
akara_act1_gossip_9	AkaraGossip10
akara_act1_gossip_10	AkaraGossip11
kashya_act1_intro	KashyaIntroGossip1
kashya_act1_intro_ama	KashyaIntroAmaGossip1
kashya_act1_gossip_ama	KashyaGossip1
kashya_act1_gossip_1	KashyaGossip2
kashya_act1_gossip_2	KashyaGossip3
kashya_act1_gossip_3	KashyaGossip4
kashya_act1_gossip_4	KashyaGossip5
kashya_act1_gossip_5	KashyaGossip6
kashya_act1_gossip_6	KashyaGossip7
kashya_act1_gossip_7	KashyaGossip8
kashya_act1_gossip_8	KashyaGossip9
kashya_act1_gossip_9	KashyaGossip10
charsi_act1_intro	CharsiIntroGossip1
charsi_act1_intro_bar	CharsiIntroBarGossip1
charsi_act1_gossip_bar	CharsiGossip1
charsi_act1_gossip_1	CharsiGossip2
charsi_act1_gossip_2	CharsiGossip3
charsi_act1_gossip_3	CharsiGossip4
charsi_act1_gossip_4	CharsiGossip5
charsi_act1_gossip_5	CharsiGossip6
charsi_act1_gossip_6	CharsiGossip7
gheed_act1_intro	GheedIntroGossip1
gheed_act1_intro_nec	GheedIntroNecGossip1
gheed_act1_gossip_nec	GheedGossip1
gheed_act1_gossip_1	GheedGossip2
gheed_act1_gossip_2	GheedGossip3
gheed_act1_gossip_3	GheedGossip4
gheed_act1_gossip_4	GheedGossip5
gheed_act1_gossip_5	GheedGossip6
gheed_act1_gossip_6	GheedGossip7
cain_act1_gossip_1	CainGossip1
cain_act1_gossip_2	CainGossip2
cain_act1_gossip_3	CainGossip3
cain_act1_gossip_4	CainGossip4
cain_act1_gossip_5	CainGossip5
rogue_turn_back	RogueSignpostGossip1
rogue_complete_akara	RogueSignpostGossip2
rogue_evil_strong	RogueSignpostGossip3
rogue_mortal_danger	RogueSignpostGossip4
rogue_wilderness_ahead	RogueSignpostGossip5
akara_act1_q1_init	A1Q1InitAkara
akara_act1_q1_after	A1Q1AfterInitAkara
kashya_act1_q1_after	A1Q1AfterInitKashya
charsi_act1_q1_after	A1Q1AfterInitCharsiMain
charsi_act1_q1_after_2	A1Q1AfterInitCharsiAlt
gheed_act1_q1_after	A1Q1AfterInitGheed
warriv_act1_q1_after	A1Q1AfterInitWarriv
akara_act1_q1_early	A1Q1EarlyReturnAkara
kashya_act1_q1_early	A1Q1EarlyReturnKashya
charsi_act1_q1_early	A1Q1EarlyReturnCharsi
gheed_act1_q1_early	A1Q1EarlyReturnGheed
warriv_act1_q1_early	A1Q1EarlyReturnWarriv
akara_act1_q1_success	A1Q1SuccessfulAkara
kashya_act1_q1_success	A1Q1SuccessfulKashya
charsi_act1_q1_success	A1Q1SuccessfulCharsi
gheed_act1_q1_success	A1Q1SuccessfulGheed
warriv_act1_q1_success	A1Q1SuccessfulWarriv
kashya_act1_q2_init	A1Q2InitKashya
kashya_act1_q2_after	A1Q2AfterInitKashya
charsi_act1_q2_after	A1Q2AfterInitCharsi
gheed_act1_q2_after	A1Q2AfterInitGheed
akara_act1_q2_after	A1Q2AfterInitAkara
warriv_act1_q2_after	A1Q2AfterInitWarriv
kashya_act1_q2_early	A1Q2EarlyReturnKashya
akara_act1_q2_early	A1Q2EarlyReturnAkara
charsi_act1_q2_early	A1Q2EarlyReturnCharsi
gheed_act1_q2_early	A1Q2EarlyReturnGheed
warriv_act1_q2_early	A1Q2EarlyReturnWarriv
kashya_act1_q2_success	A1Q2SuccessfulKashya
akara_act1_q2_success	A1Q2SuccessfulAkara
charsi_act1_q2_success	A1Q2SuccessfulCharsi
gheed_act1_q2_success	A1Q2SuccessfulGheed
warriv_act1_q2_success	A1Q2SuccessfulWarriv
akara_act1_q4_init	A1Q4InitAkara
kashya_act1_q4_after_scroll	A1Q4AfterInitScrollKashya
akara_act1_q4_after_scroll	A1Q4AfterInitScrollAkara
charsi_act1_q4_after_scroll	A1Q4AfterInitScrollCharsi
warriv_act1_q4_after_scroll	A1Q4AfterInitScrollWarriv
gheed_act1_q4_after	A1Q4AfterInitScrollGheed
charsi_act1_q4_instructions	A1Q4InstructionsCharsi
akara_act1_q4_early_scroll	A1Q4EarlyReturnSAkara
kashya_act1_q4_early_scroll	A1Q4EarlyReturnSKashya
gheed_act1_q4_early_scroll	A1Q4EarlyReturnSGheed
warriv_act1_q4_early_scroll	A1Q4EarlyReturnSWarriv
kashya_act1_q4_success_scroll	A1Q4SuccessfulScrollKashya
charsi_act1_q4_success_scroll	A1Q4SuccessfulScrollCharsi
gheed_act1_q4_success_scroll	A1Q4SuccessfulScrollGheed
warriv_act1_q4_success_scroll	A1Q4SuccessfulScrollWarriv
akara_act1_q4_instructions	A1Q4InstructionsAkara
kashya_act1_q4_early	A1Q4EarlyReturnKashya
charsi_act1_q4_early	A1Q4EarlyReturnCharsi
gheed_act1_q4_early	A1Q4EarlyReturnGheed
warriv_act1_q4_early	A1Q4EarlyReturnWarriv
akara_act1_q4_early	A1Q4EarlyReturnAkara
akara_act1_q4_success	A1Q4QuestSuccessfulAkara
kashya_act1_q4_success	A1Q4QuestSuccessfulKashya
gheed_act1_q4_success	A1Q4QuestSuccessfulGheed
charsi_act1_q4_success	A1Q4QuestSuccessfulCharsi
warriv_act1_q4_success	A1Q4QuestSuccessfulWarriv
cain_act1_q4_success	A1Q4QuestSuccessfulCain
cain_act1_q4_rescued_hero	A1Q4RescuedByHeroCain
cain_act1_q4_rescued_rogues	A1Q4RescuedByRoguesCain
cain_act1_q4_tragedy	A1Q4TragedyOfTristramCain
narrator_act1_q5_tome	A1Q5InitQuestTome
gheed_act1_q5_after	A1Q5AfterInitGheed
charsi_act1_q5_after	A1Q5AfterInitCharsi
akara_act1_q5_after	A1Q5AfterInitAkara
cain_act1_q5_after	A1Q5AfterInitCain
warriv_act1_q5_after	A1Q5AfterInitWarriv
kashya_act1_q5_after	A1Q5AfterInitKashya
kashya_act1_q5_early	A1Q5EarlyReturnKashya
cain_act1_q5_early	A1Q5EarlyReturnCain
warriv_act1_q5_early	A1Q5EarlyReturnWarriv
charsi_act1_q5_early	A1Q5EarlyReturnCharsi
akara_act1_q5_early	A1Q5EarlyReturnAkara
gheed_act1_q5_early	A1Q5EarlyReturnGheed
kashya_act1_q5_success	A1Q5SuccessfulKashya
warriv_act1_q5_success	A1Q5SuccessfulWarriv
gheed_act1_q5_success	A1Q5SuccessfulGheed
akara_act1_q5_success	A1Q5SuccessfulAkara
charsi_act1_q5_success	A1Q5SuccessfulCharsi
cain_act1_q5_success	A1Q5SuccessfulCain
charsi_act1_q3_init	A1Q3InitCharsi
cain_act1_q3_after	A1Q3AfterInitCain
akara_act1_q3_after	A1Q3AfterInitAkara
kashya_act1_q3_after	A1Q3AfterInitKashya
charsi_act1_q3_after	A1Q3AfterInitCharsi
gheed_act1_q3_after	A1Q3AfterInitGheed
gheed_act1_q3_after_2	A1Q3AfterInitGheedAlt
warriv_act1_q3_after	A1Q3AfterInitWarriv
cain_act1_q3_early	A1Q3EarlyReturnCain
akara_act1_q3_early	A1Q3EarlyReturnAkara
kashya_act1_q3_early	A1Q3EarlyReturnKashya
charsi_act1_q3_early	A1Q3EarlyReturnCharsi
gheed_act1_q3_early	A1Q3EarlyReturnGheed
warriv_act1_q3_early	A1Q3EarlyReturnWarriv
cain_act1_q3_success	A1Q3SuccessfulCain
akara_act1_q3_success	A1Q3SuccessfulAkara
kashya_act1_q3_success	A1Q3SuccessfulKashya
charsi_act1_q3_success	A1Q3SuccessfulCharsi
gheed_act1_q3_success	A1Q3SuccessfulGheed
warriv_act1_q3_success	A1Q3SuccessfulWarriv
cain_act1_q6_init	A1Q6InitCain
cain_act1_q6_after	A1Q6AfterInitCain
akara_act1_q6_after	A1Q6AfterInitAkara
charsi_act1_q6_after	A1Q6AfterInitCharsi
