Name	Def	LevelType
None	0	0
Act 1 - Town 1	1	1
Act 1 - Town 1 Transition E	2	1
Act 1 - Town 1 Transition S	3	1
Act 1 - Wild Border 1	4	2
Act 1 - Wild Border 2	5	2
Act 1 - Wild Border 3	6	2
Act 1 - Wild Border 4	7	2
Act 1 - Wild Border 5	8	2
Act 1 - Wild Border 6	9	2
Act 1 - Wild Border 7	10	2
Act 1 - Wild Border 8	11	2
Act 1 - Wild Border 9	12	2
Act 1 - Wild Border 10	13	2
Act 1 - Wild Border 11	14	2
Act 1 - Wild Border 12	15	2
Act 1 - Wild Cliff Border 2	16	2
Act 1 - Wild Cliff Border 3	17	2
Act 1 - Wild Cliff Border 5	18	2
Act 1 - Wild Cliff Border 6A	19	2
Act 1 - Wild Cliff Border 6B	20	2
Act 1 - Wild Cliff Border 6C	21	2
Act 1 - Wild Cliff Border 7	22	2
Act 1 - Wild Cliff Border 10	23	2
Act 1 - Wild Cliff Cave Right	24	2
Act 1 - Wild Cliff Cave Left	25	2
Act 1 - River Upper	26	2
Act 1 - River Lower	27	2
Act 1 - Bridge	28	2
Act 1 - Stone Fill 1	29	2
Act 1 - Stone Fill 2	30	2
Act 1 - Corral Fill	31	2
Act 1 - Fence Fill 1	32	2
Act 1 - Fence Fill 2	33	2
Act 1 - Fence Fill 3	34	2
Act 1 - Fence Fill 4	35	2
Act 1 - Fence Fill 5	36	2
Act 1 - Fence Fill 6	37	2
Act 1 - Swamp Fill 1	38	2
Act 1 - Swamp Fill 2	39	2
Act 1 - Tree Fill	40	2
Act 1 - Ruin	41	1
Act 1 - Fallen Camp 1	42	2
Act 1 - Fallen Camp 2	43	2
Act 1 - Fallen Camp Bishibosh	44	2
Act 1 - Camp	45	2
Act 1 - Pond	46	2
Act 1 - Cottages 1	47	2
Act 1 - Cottages 2	48	2
Act 1 - Cottages 3	49	2
Act 1 - Bivouac	50	2
Act 1 - Cave Entrance	51	2
Act 1 - DOE Entrance	52	2
Act 1 - Cave W	53	3
Act 1 - Cave E	54	3
Act 1 - Cave EW	55	3
Act 1 - Cave S	56	3
Act 1 - Cave SW	57	3
Act 1 - Cave SE	58	3
Act 1 - Cave SEW	59	3
Act 1 - Cave N	60	3
Act 1 - Cave NW	61	3
Act 1 - Cave NE	62	3
Act 1 - Cave NEW	63	3
Act 1 - Cave NS	64	3
Act 1 - Cave NSW	65	3
Act 1 - Cave NSE	66	3
Act 1 - Cave NSEW	67	3
Act 1 - Cave Theme W	68	3
Act 1 - Cave Theme E	69	3
Act 1 - Cave Theme EW	70	3
Act 1 - Cave Theme S	71	3
Act 1 - Cave Theme SW	72	3
Act 1 - Cave Theme SE	73	3
Act 1 - Cave Theme SEW	74	3
Act 1 - Cave Theme N	75	3
Act 1 - Cave Theme NW	76	3
Act 1 - Cave Theme NE	77	3
Act 1 - Cave Theme NEW	78	3
Act 1 - Cave Theme NS	79	3
Act 1 - Cave Theme NSW	80	3
Act 1 - Cave Theme NSE	81	3
Act 1 - Cave Theme NSEW	82	3
Act 1 - Cave Prev W	83	3
Act 1 - Cave Prev E	84	3
Act 1 - Cave Prev S	85	3
Act 1 - Cave Prev N	86	3
Act 1 - Cave Next W	87	3
Act 1 - Cave Next E	88	3
Act 1 - Cave Next S	89	3
Act 1 - Cave Next N	90	3
Act 1 - Cave Down W	91	3
Act 1 - Cave Down E	92	3
Act 1 - Cave Down S	93	3
Act 1 - Cave Down N	94	3
Act 1 - Cave Den Of Evil W	95	3
Act 1 - Cave Den Of Evil E	96	3
Act 1 - Cave Den Of Evil S	97	3
Act 1 - Cave Den Of Evil N	98	3
Act 1 - Cave Coldcrow W	99	3
Act 1 - Cave Coldcrow E	100	3
Act 1 - Cave Coldcrow S	101	3
Act 1 - Cave Coldcrow N	102	3
Act 1 - Cave Treasure 1	103	3
Act 1 - Cave Treasure 2	104	3
Act 1 - Cave Treasure 3	105	3
Act 1 - Cave Treasure 4	106	3
Act 1 - Cave Treasure 5	107	3
Act 1 - Graveyard	108	2
Act 1 - Crypt W	109	4
Act 1 - Crypt E	110	4
Act 1 - Crypt EW	111	4
Act 1 - Crypt S	112	4
Act 1 - Crypt SW	113	4
Act 1 - Crypt SE	114	4
Act 1 - Crypt SEW	115	4
Act 1 - Crypt N	116	4
Act 1 - Crypt NW	117	4
Act 1 - Crypt NE	118	4
Act 1 - Crypt NEW	119	4
Act 1 - Crypt NS	120	4
Act 1 - Crypt NSW	121	4
Act 1 - Crypt NSE	122	4
Act 1 - Crypt NSEW	123	4
Act 1 - Crypt Theme W	124	4
Act 1 - Crypt Theme E	125	4
Act 1 - Crypt Theme EW	126	4
Act 1 - Crypt Theme S	127	4
Act 1 - Crypt Theme SW	128	4
