Act	Id	Description	ObjectId
1	0	RogueFountain	12
1	1	Torch1 Tiki	37
1	2	RogueBonfire	39
1	3	Standard1	35
1	4	Standard2	36
1	5	LargeChestR	5
1	6	StoneAlpha	17
1	7	StoneBeta	18
1	8	StoneGamma	19
1	9	StoneDelta	20
1	10	StoneLambda	21
1	11	StoneTheta	22
1	12	inifuss tree	30
1	13	ripple	70
1	14	ripple	70
1	15	ripple	69
1	16	ripple	69
1	17	Brazier	29
1	18	Fountain	31
1	19	Candles1	33
1	20	Candles2	34
1	21	Torch1 Tiki	37
1	22	Invisible object	61
1	23	invisible river sound1	65
1	24	invisible river sound2	66
1	25	Tower Tome	8
1	26	Cain's Been Captured	26
1	27	Hole in Ground	28
1	28	bubbling pool of blood	82
1	29	Shrine	2
1	30	forest altar	81
1	31	healing well	84
1	32	horn shrine	83
1	33	invisible town sound	78
1	34	Invisible object	61
1	35	flies	103
1	36	Malus	108
1	37	waypoint portal	119
1	38	0	580
1	39	pool act 1 wilderness	130
1	40	rockb act 1 wilderness	159
1	41	cliff act 1 wilderness	163
1	42	log	169
1	43	fire small	160
1	44	fire medium	161
1	45	fire large	162
1	46	Armor Stand 1R	104
1	47	Armor Stand 2L	105
1	48	Weapon Rack 1R	106
1	49	Weapon Rack 2L	107
1	50	bookshelf1	179
1	51	bookshelf2	180
1	52	waypoint portal	119
1	53	waypoint act 1 wilderness	157
1	54	bed act 1	247
1	55	bed act 1	248
1	56	rock act 1 wilderness	155
1	57	rockc act 1 wilderness	174
1	58	rockd act 1 wilderness	175
1	59	chest-r-large act 1	139
1	60	chest-r-tallskinney act 1	140
1	61	chest-r-med act 1	141
1	62	Lchest1 act 1	144
1	63	LargeChestL	6
1	64	gchest1L general	240
1	65	gchest2R general	241
1	66	gchest3R general	242
1	67	Rogue corpse 1	54
1	68	Rogue corpse 2	55
1	69	rolling rogue corpse	56
1	70	rogue on a stick 1	57
1	71	rogue on a stick 2	58
1	72	corpseb	171
1	73	guard on a stick, desert, tomb, harom	178
1	74	burning town	239
1	75	burning town	245
1	76	exploding cow	250
1	77	Fountain 1	111
1	78	cavewell act 1 caves 	138
1	79	cathedralwell act 1 inside	132
1	80	mana well1	164
1	81	mana well2	165
1	82	healthorama	77
1	83	bull shrine,health, tombs	85
1	84	stele,magic shrine, stone, desert	86
1	85	act 1 cathedral	262
1	86	act 1 jail	263
1	87	act 1 jail	264
1	88	act 1 jail	265
1	89	CasketR	50
1	90	CasketL	51
1	91	casket #3	79
1	92	Casket	53
1	93	Casket #5	1
1	94	Casket #6	3
1	95	Barrel	7
1	96	Crate	46
1	97	Torch2 Wall	38
1	98	stool for act 1 cabin	256
1	99	wood for act 1 cabin	257
1	100	more wood for act 1 cabin	258
1	101	secret door 1	129
1	102	bank	267
1	103	wirt's body	268
1	104	gold placeholder	269
1	105	0	581
1	106	helllightsource1	351
1	107	helllightsource1	352
